actual_delta_audit_mse,actual_delta_audit_rgb_objective,adam_step_norm,after_one_step_audit_mse,after_one_step_audit_rgb_objective,anchor_gradient_alignment,anchor_gradient_dot_batch_gradient,audit_forward_ms,baseline_audit_mse,baseline_audit_rgb_objective,batch_gradient_effective_rank,batch_gradient_norm,batch_index,batch_size,candidate_mse_mean,candidate_update_ms,coverage_gain_mean,label,optimizer_aware_predicted_decrease_anchor,policy,seed,temporal_span_ns,time_s,uids,within_batch_cosine_mean,within_batch_cosine_min
6.4079649746418e-06,2.413243055343628e-05,5.965364705414913,0.007786272559314966,0.1028805822134018,0.007126536954631106,1.4821284821664449e-05,6.703680038452148,0.007792680524289608,0.10290471464395523,1.0,0.08693728779572175,0,1,0.006094413343816996,42.89664077758789,177.0,time_0s,1.7248303279870925e-05,B1_RR,0,0,0,[1009],,
1.1280179023742676e-05,0.00017451494932174683,4.576500048899929,0.007781400345265865,0.10273019969463348,0.0017034500522298856,2.49383992922958e-06,6.678688049316406,0.007792680524289608,0.10290471464395523,1.0,0.06119810097578716,1,1,0.003345778211951256,3.743295907974243,39.0,time_0s,1.7548856362736842e-05,B1_RR,0,0,0,[462],,
5.096942186355591e-05,0.0004438459873199463,7.438613893839532,0.007741711102426052,0.10246086865663528,0.10854597084667161,0.00020384667732287198,6.756671905517578,0.007792680524289608,0.10290471464395523,1.0,0.0785034431192924,2,1,0.0064096515998244286,3.781248092651367,62.0,time_0s,0.00029937065119156614,B1_RR,0,0,0,[799],,
2.752058207988739e-05,0.00021798163652420044,7.850006377276788,0.007765159942209721,0.10268673300743103,0.05703485548219105,0.00010223669960396364,6.48579216003418,0.007792680524289608,0.10290471464395523,1.0,0.07493164230539576,3,1,0.009621996432542801,3.984447956085205,100.0,time_0s,0.00026173995138378814,B1_RR,0,0,0,[674],,
5.126930773258209e-07,-8.352100849151611e-06,4.572965202195263,0.007792167831212282,0.10291306674480438,0.1330421243856378,0.00018775754142552614,6.484352111816406,0.007792680524289608,0.10290471464395523,1.0,0.058993884608435146,4,1,0.002868121024221182,3.319744110107422,131.0,time_0s,0.0003699451062857406,B1_RR,0,0,0,[381],,
6.169220432639122e-05,0.0007007941603660583,6.336362770380466,0.007730988319963217,0.10220392048358917,0.2198043720142245,0.00029555123182944953,6.5796799659729,0.007792680524289608,0.10290471464395523,1.0,0.05620762343044686,5,1,0.005193110555410385,3.598655939102173,70.0,time_0s,0.0007015947176114423,B1_RR,0,0,0,[924],,
2.1273735910654068e-05,0.00020810216665267944,6.993860218623743,0.007771406788378954,0.10269661247730255,0.029495666543785156,5.4033269407227635e-05,6.63424015045166,0.007792680524289608,0.10290471464395523,1.0,0.07657760986780657,6,1,0.0073811993934214115,3.821984052658081,107.0,time_0s,0.0001759412836008778,B1_RR,0,0,0,[839],,
-6.581656634807587e-06,-1.5147030353546143e-05,8.103494463470257,0.007799262180924416,0.10291986167430878,0.016610104697124012,2.3589980628457852e-05,6.753312110900879,0.007792680524289608,0.10290471464395523,1.0,0.059368214799903445,7,1,0.004293373785912991,4.452032089233398,43.0,time_0s,1.0146810097921843e-05,B1_RR,0,0,0,[1179],,
4.4333748519420624e-05,0.0005090087652206421,8.479600458223837,0.007748346775770187,0.10239570587873459,0.20015580097697228,0.00019950087880715728,6.659679889678955,0.007792680524289608,0.10290471464395523,1.0,0.0416653857679973,8,1,0.005546374712139368,4.109856128692627,363.0,time_0s,0.0007883646503614727,B1_RR,0,0,0,[167],,
3.25031578540802e-06,0.00013718754053115845,6.720083993065923,0.0077894302085042,0.10276752710342407,0.013251518127376568,1.906730540213175e-05,6.544511795043945,0.007792680524289608,0.10290471464395523,1.0,0.06014817620257933,9,1,0.005292368587106466,3.7936320304870605,165.0,time_0s,0.00014231801651476417,B1_RR,0,0,0,[294],,
2.2870022803544998e-05,0.000286884605884552,6.911594026459326,0.007769810501486063,0.10261783003807068,0.05236362063769192,6.916159327374771e-05,6.729983806610107,0.007792680524289608,0.10290471464395523,1.0,0.05521207856161993,10,1,0.006008106749504805,3.5857601165771484,185.0,time_0s,0.0003131263119939831,B1_RR,0,0,0,[883],,
-3.3192336559295654e-06,4.9658119678497314e-05,6.148526361930875,0.007795999757945538,0.10285505652427673,0.03646056530585629,5.8518773585092276e-05,6.5629119873046875,0.007792680524289608,0.10290471464395523,1.0,0.0670919776144045,11,1,0.003391112433746457,3.3678719997406006,118.0,time_0s,0.0002914152692028438,B1_RR,0,0,0,[334],,
